Simulation Time,Connect with UAV,Current ip,Current postion,Current block,Sender State,Sender Rate
0,3,172.16.3.8,253.826:250.306:0,9,1,2048bps
0.1,3,172.16.3.8,253.875:250.5:0,9,1,2048bps
0.2,3,172.16.3.8,253.924:250.694:0,9,1,2048bps
0.3,3,172.16.3.8,253.973:250.888:0,9,1,2048bps
0.4,3,172.16.3.8,254.023:251.082:0,9,1,2048bps
0.5,3,172.16.3.8,254.072:251.276:0,9,1,2048bps
0.6,3,172.16.3.8,254.121:251.469:0,9,1,2048bps
0.7,3,172.16.3.8,254.171:251.663:0,9,1,2048bps
0.8,3,172.16.3.8,254.22:251.857:0,9,1,2048bps
0.9,3,172.16.3.8,254.269:252.051:0,9,1,2048bps
1,3,172.16.3.8,254.319:252.245:0,9,1,2048bps
1.1,3,172.16.3.8,254.368:252.439:0,9,1,2048bps
1.2,3,172.16.3.8,254.417:252.632:0,9,1,2048bps
