Simulation Time,Connect with UAV,Current ip,Current postion,Current block,Sender State,Sender Rate
0,0,172.16.0.3,100:49.3284:0,6,1,2048bps
4,0,172.16.0.3,95.3919:43.2847:0,6,1,2048bps
8,0,172.16.0.3,90.5413:36.923:0,6,1,2048bps
12,0,172.16.0.3,85.6907:30.5613:0,3,1,2048bps
16,0,172.16.0.3,80.8401:24.1996:0,3,1,2048bps
20,0,172.16.0.3,75.9895:17.8379:0,3,1,2048bps
24,0,172.16.0.3,71.1388:11.4761:0,3,1,2048bps
28,0,172.16.0.3,66.2882:5.1144:0,2,1,2048bps
32,0,172.16.0.3,62.2955:1.16482:0,2,1,2048bps
36,0,172.16.0.3,61.6577:9.13935:0,2,1,2048bps
40,0,172.16.0.3,61.0199:17.1139:0,2,1,2048bps
