Simulation Time,Connect with UAV,Current ip,Current postion,Current block,Sender State,Sender Rate
0,3,172.16.3.4,254.436:254.026:0,9,1,2048bps
0.1,3,172.16.3.4,254.568:253.875:0,9,1,2048bps
0.2,3,172.16.3.4,254.699:253.724:0,9,1,2048bps
0.3,3,172.16.3.4,254.831:253.573:0,9,1,2048bps
0.4,3,172.16.3.4,254.962:253.423:0,9,1,2048bps
0.5,3,172.16.3.4,255.093:253.272:0,9,1,2048bps
0.6,3,172.16.3.4,255.225:253.121:0,9,1,2048bps
0.7,3,172.16.3.4,255.356:252.97:0,9,1,2048bps
0.8,3,172.16.3.4,255.487:252.819:0,9,1,2048bps
0.9,3,172.16.3.4,255.619:252.668:0,9,1,2048bps
1,3,172.16.3.4,255.75:252.518:0,9,1,2048bps
1.1,3,172.16.3.4,255.881:252.367:0,9,1,2048bps
1.2,3,172.16.3.4,256.013:252.216:0,9,1,2048bps
