Simulation Time,Connect with UAV,Current ip,Current postion,Current block,Sender State,Sender Rate
0,3,172.16.3.2,256.087:244.322:0,9,1,2048bps
0.5,3,172.16.3.2,257.075:244.169:0,9,1,2048bps
1,3,172.16.3.2,258.064:244.016:0,9,1,2048bps
1.5,3,172.16.3.2,259.052:243.863:0,9,1,2048bps
2,3,172.16.3.2,260.04:243.71:0,9,1,2048bps
2.5,3,172.16.3.2,261.028:243.557:0,9,1,2048bps
3,3,172.16.3.2,262.017:243.404:0,9,1,2048bps
3.5,3,172.16.3.2,263.005:243.251:0,9,1,2048bps
4,3,172.16.3.2,263.993:243.098:0,9,1,2048bps
4.5,3,172.16.3.2,264.981:242.945:0,9,1,2048bps
5,3,172.16.3.2,265.969:242.792:0,9,1,2048bps
5.5,3,172.16.3.2,266.958:242.639:0,9,1,2048bps
6,3,172.16.3.2,267.946:242.486:0,9,1,2048bps
6.5,3,172.16.3.2,268.934:242.334:0,9,1,2048bps
7,3,172.16.3.2,269.922:242.181:0,9,1,2048bps
7.5,3,172.16.3.2,270.911:242.028:0,9,1,2048bps
8,3,172.16.3.2,271.899:241.875:0,9,1,2048bps
8.5,3,172.16.3.2,272.887:241.722:0,9,1,2048bps
9,3,172.16.3.2,273.875:241.569:0,9,1,2048bps
9.5,3,172.16.3.2,274.864:241.416:0,9,1,2048bps
10,3,172.16.3.2,275.852:241.263:0,9,1,2048bps
10.5,3,172.16.3.2,276.84:241.11:0,9,1,2048bps
11,3,172.16.3.2,277.828:240.957:0,9,1,2048bps
11.5,3,172.16.3.2,278.817:240.804:0,9,1,2048bps
12,3,172.16.3.2,279.805:240.651:0,9,1,2048bps
12.5,3,172.16.3.2,280.793:240.498:0,9,1,2048bps
13,3,172.16.3.2,281.781:240.345:0,9,1,2048bps
13.5,3,172.16.3.2,282.769:240.192:0,9,1,2048bps
14,3,172.16.3.2,283.758:240.039:0,9,1,2048bps
14.5,3,172.16.3.2,284.746:239.886:0,9,1,2048bps
15,3,172.16.3.2,285.734:239.733:0,9,1,2048bps
15.5,3,172.16.3.2,286.722:239.58:0,9,1,2048bps
16,3,172.16.3.2,287.711:239.427:0,9,1,2048bps
16.5,3,172.16.3.2,288.699:239.274:0,9,1,2048bps
17,3,172.16.3.2,289.687:239.121:0,9,1,2048bps
17.5,3,172.16.3.2,290.675:238.969:0,9,1,2048bps
18,3,172.16.3.2,291.664:238.816:0,9,1,2048bps
18.5,3,172.16.3.2,292.652:238.663:0,9,1,2048bps
19,3,172.16.3.2,293.64:238.51:0,9,1,2048bps
19.5,3,172.16.3.2,294.628:238.357:0,9,1,2048bps
20,3,172.16.3.2,295.616:238.204:0,9,1,2048bps
20.5,3,172.16.3.2,296.605:238.051:0,9,1,2048bps
21,3,172.16.3.2,297.593:237.898:0,9,1,2048bps
21.5,3,172.16.3.2,298.581:237.745:0,9,1,2048bps
22,3,172.16.3.2,299.569:237.592:0,9,1,2048bps
22.5,3,172.16.3.2,299.852:237.597:0,9,1,2048bps
23,3,172.16.3.2,298.952:238.032:0,9,1,2048bps
23.5,3,172.16.3.2,298.051:238.466:0,9,1,2048bps
24,3,172.16.3.2,297.151:238.901:0,9,1,2048bps
24.5,3,172.16.3.2,296.25:239.336:0,9,1,2048bps
25,3,172.16.3.2,295.35:239.771:0,9,1,2048bps
25.5,3,172.16.3.2,294.449:240.206:0,9,1,2048bps
26,3,172.16.3.2,293.549:240.641:0,9,1,2048bps
26.5,3,172.16.3.2,292.648:241.076:0,9,1,2048bps
27,3,172.16.3.2,291.748:241.511:0,9,1,2048bps
27.5,3,172.16.3.2,290.847:241.945:0,9,1,2048bps
28,3,172.16.3.2,289.947:242.38:0,9,1,2048bps
28.5,3,172.16.3.2,289.046:242.815:0,9,1,2048bps
29,3,172.16.3.2,288.146:243.25:0,9,1,2048bps
29.5,3,172.16.3.2,287.245:243.685:0,9,1,2048bps
