Simulation Time,Connect with UAV,Current ip,Current postion,Current block,Sender State,Sender Rate
0,3,172.16.3.5,246.256:247.013:0,9,1,2048bps
0.5,3,172.16.3.5,245.338:247.41:0,9,1,2048bps
1,3,172.16.3.5,244.42:247.807:0,9,1,2048bps
1.5,3,172.16.3.5,243.502:248.204:0,9,1,2048bps
2,3,172.16.3.5,242.584:248.601:0,9,1,2048bps
2.5,3,172.16.3.5,241.667:248.998:0,9,1,2048bps
3,3,172.16.3.5,240.749:249.395:0,9,1,2048bps
3.5,3,172.16.3.5,239.831:249.792:0,9,1,2048bps
4,3,172.16.3.5,238.913:250.189:0,9,1,2048bps
4.5,3,172.16.3.5,237.995:250.586:0,9,1,2048bps
5,3,172.16.3.5,237.078:250.983:0,9,1,2048bps
5.5,3,172.16.3.5,236.16:251.381:0,9,1,2048bps
6,3,172.16.3.5,235.242:251.778:0,9,1,2048bps
6.5,3,172.16.3.5,234.324:252.175:0,9,1,2048bps
7,3,172.16.3.5,233.406:252.572:0,9,1,2048bps
7.5,3,172.16.3.5,232.489:252.969:0,9,1,2048bps
8,3,172.16.3.5,231.571:253.366:0,9,1,2048bps
8.5,3,172.16.3.5,230.653:253.763:0,9,1,2048bps
9,3,172.16.3.5,229.735:254.16:0,9,1,2048bps
9.5,3,172.16.3.5,228.818:254.557:0,9,1,2048bps
10,3,172.16.3.5,227.9:254.954:0,9,1,2048bps
10.5,3,172.16.3.5,226.982:255.351:0,9,1,2048bps
11,3,172.16.3.5,226.064:255.748:0,9,1,2048bps
11.5,3,172.16.3.5,225.146:256.145:0,9,1,2048bps
12,3,172.16.3.5,224.229:256.542:0,9,1,2048bps
12.5,3,172.16.3.5,223.311:256.939:0,9,1,2048bps
13,3,172.16.3.5,222.393:257.336:0,9,1,2048bps
13.5,3,172.16.3.5,221.475:257.733:0,9,1,2048bps
14,3,172.16.3.5,220.557:258.131:0,9,1,2048bps
14.5,3,172.16.3.5,219.64:258.528:0,9,1,2048bps
15,3,172.16.3.5,218.722:258.925:0,9,1,2048bps
15.5,3,172.16.3.5,217.804:259.322:0,9,1,2048bps
16,3,172.16.3.5,216.886:259.719:0,9,1,2048bps
16.5,3,172.16.3.5,215.968:260.116:0,9,1,2048bps
17,3,172.16.3.5,215.051:260.513:0,9,1,2048bps
17.5,3,172.16.3.5,214.133:260.91:0,9,1,2048bps
18,3,172.16.3.5,213.215:261.307:0,9,1,2048bps
18.5,3,172.16.3.5,212.297:261.704:0,9,1,2048bps
19,3,172.16.3.5,211.379:262.101:0,9,1,2048bps
19.5,3,172.16.3.5,210.462:262.498:0,9,1,2048bps
20,3,172.16.3.5,209.544:262.895:0,9,1,2048bps
20.5,3,172.16.3.5,208.626:263.292:0,9,1,2048bps
21,3,172.16.3.5,207.708:263.689:0,9,1,2048bps
21.5,3,172.16.3.5,206.79:264.086:0,9,1,2048bps
22,3,172.16.3.5,205.873:264.484:0,9,1,2048bps
22.5,3,172.16.3.5,204.955:264.881:0,9,1,2048bps
23,3,172.16.3.5,204.037:265.278:0,9,1,2048bps
23.5,3,172.16.3.5,203.119:265.675:0,9,1,2048bps
24,3,172.16.3.5,202.202:266.072:0,9,1,2048bps
24.5,3,172.16.3.5,201.284:266.469:0,9,1,2048bps
25,3,172.16.3.5,200.366:266.866:0,9,1,2048bps
25.5,3,172.16.3.5,199.448:267.263:0,8,1,2048bps
26,3,172.16.3.5,198.53:267.66:0,8,1,2048bps
26.5,3,172.16.3.5,197.613:268.057:0,8,1,2048bps
27,3,172.16.3.5,196.695:268.454:0,8,1,2048bps
27.5,3,172.16.3.5,195.777:268.851:0,8,1,2048bps
28,3,172.16.3.5,194.859:269.248:0,8,1,2048bps
28.5,3,172.16.3.5,193.941:269.645:0,8,1,2048bps
29,3,172.16.3.5,193.024:270.042:0,8,1,2048bps
29.5,3,172.16.3.5,192.106:270.439:0,8,1,2048bps
