Simulation Time,Connect with UAV,Current ip,Current postion,Current block,Sender State,Sender Rate
0,3,172.16.3.5,252.815:252.157:0,9,1,2048bps
0.1,3,172.16.3.5,253.015:252.145:0,9,1,2048bps
0.2,3,172.16.3.5,253.214:252.132:0,9,1,2048bps
0.3,3,172.16.3.5,253.414:252.119:0,9,1,2048bps
0.4,3,172.16.3.5,253.614:252.106:0,9,1,2048bps
0.5,3,172.16.3.5,253.813:252.094:0,9,1,2048bps
0.6,3,172.16.3.5,254.013:252.081:0,9,1,2048bps
0.7,3,172.16.3.5,254.212:252.068:0,9,1,2048bps
0.8,3,172.16.3.5,254.412:252.055:0,9,1,2048bps
0.9,3,172.16.3.5,254.612:252.043:0,9,1,2048bps
1,3,172.16.3.5,254.811:252.03:0,9,1,2048bps
1.1,3,172.16.3.5,255.011:252.017:0,9,1,2048bps
1.2,3,172.16.3.5,255.21:252.004:0,9,1,2048bps
