Simulation Time,Connect with UAV,Current ip,Current postion,Current block,Sender State,Sender Rate
0,3,172.16.3.3,109.028:197.793:0,5,1,2048bps
0.1,3,172.16.3.3,108.833:197.753:0,5,1,2048bps
0.2,3,172.16.3.3,108.637:197.712:0,5,1,2048bps
0.3,3,172.16.3.3,108.441:197.672:0,5,1,2048bps
0.4,3,172.16.3.3,108.245:197.632:0,5,1,2048bps
0.5,3,172.16.3.3,108.049:197.592:0,5,1,2048bps
0.6,3,172.16.3.3,107.853:197.551:0,5,1,2048bps
0.7,3,172.16.3.3,107.657:197.511:0,5,1,2048bps
0.8,2,172.16.2.3,107.461:197.471:0,5,1,2048bps
0.9,2,172.16.2.3,107.265:197.431:0,5,1,2048bps
1,2,172.16.2.3,107.069:197.391:0,5,1,2048bps
1.1,2,172.16.2.3,106.873:197.35:0,5,1,2048bps
1.2,2,172.16.2.3,106.677:197.31:0,5,1,2048bps
