Simulation Time,Connect with UAV,Current ip,Current postion,Current block,Sender State,Sender Rate
0,3,172.16.3.9,246.643:247.476:0,9,1,2048bps
0.1,3,172.16.3.9,246.56:247.294:0,9,1,2048bps
0.2,3,172.16.3.9,246.477:247.112:0,9,1,2048bps
0.3,3,172.16.3.9,246.393:246.93:0,9,1,2048bps
0.4,3,172.16.3.9,246.31:246.748:0,9,1,2048bps
0.5,3,172.16.3.9,246.227:246.566:0,9,1,2048bps
0.6,3,172.16.3.9,246.144:246.384:0,9,1,2048bps
0.7,3,172.16.3.9,246.061:246.202:0,9,1,2048bps
0.8,3,172.16.3.9,245.978:246.02:0,9,1,2048bps
0.9,3,172.16.3.9,245.894:245.839:0,9,1,2048bps
1,3,172.16.3.9,245.811:245.657:0,9,1,2048bps
1.1,3,172.16.3.9,245.728:245.475:0,9,1,2048bps
1.2,3,172.16.3.9,245.645:245.293:0,9,1,2048bps
