Simulation Time,Connect with UAV,Current ip,Current postion,Current block,Sender State,Sender Rate
0,2,172.16.2.5,99.3049:198.44:0,4,1,2048bps
0.1,2,172.16.2.5,99.3416:198.244:0,4,1,2048bps
0.2,2,172.16.2.5,99.3783:198.047:0,4,1,2048bps
0.3,2,172.16.2.5,99.4149:197.85:0,4,1,2048bps
0.4,2,172.16.2.5,99.4516:197.654:0,4,1,2048bps
0.5,2,172.16.2.5,99.4883:197.457:0,4,1,2048bps
0.6,2,172.16.2.5,99.525:197.261:0,4,1,2048bps
0.7,2,172.16.2.5,99.5617:197.064:0,4,1,2048bps
0.8,2,172.16.2.5,99.5984:196.867:0,4,1,2048bps
0.9,2,172.16.2.5,99.6351:196.671:0,4,1,2048bps
1,2,172.16.2.5,99.6718:196.474:0,4,1,2048bps
1.1,2,172.16.2.5,99.7085:196.278:0,4,1,2048bps
1.2,2,172.16.2.5,99.7452:196.081:0,4,1,2048bps
