Simulation Time,Connect with UAV,Current ip,Current postion,Current block,Sender State,Sender Rate
0,3,172.16.3.3,249.521:252.671:0,9,1,2048bps
0.5,3,172.16.3.3,249.573:251.673:0,9,1,2048bps
1,3,172.16.3.3,249.625:250.674:0,9,1,2048bps
1.5,3,172.16.3.3,249.677:249.675:0,9,1,2048bps
2,3,172.16.3.3,249.728:248.677:0,9,1,2048bps
2.5,3,172.16.3.3,249.78:247.678:0,9,1,2048bps
3,3,172.16.3.3,249.832:246.679:0,9,1,2048bps
3.5,3,172.16.3.3,249.883:245.681:0,9,1,2048bps
4,3,172.16.3.3,249.935:244.682:0,9,1,2048bps
4.5,3,172.16.3.3,249.987:243.683:0,9,1,2048bps
5,3,172.16.3.3,250.038:242.685:0,9,1,2048bps
5.5,3,172.16.3.3,250.09:241.686:0,9,1,2048bps
6,3,172.16.3.3,250.142:240.688:0,9,1,2048bps
6.5,3,172.16.3.3,250.193:239.689:0,9,1,2048bps
7,3,172.16.3.3,250.245:238.69:0,9,1,2048bps
7.5,3,172.16.3.3,250.297:237.692:0,9,1,2048bps
8,3,172.16.3.3,250.348:236.693:0,9,1,2048bps
8.5,3,172.16.3.3,250.4:235.694:0,9,1,2048bps
9,3,172.16.3.3,250.452:234.696:0,9,1,2048bps
9.5,3,172.16.3.3,250.503:233.697:0,9,1,2048bps
10,3,172.16.3.3,250.555:232.698:0,9,1,2048bps
10.5,3,172.16.3.3,250.607:231.7:0,9,1,2048bps
11,3,172.16.3.3,250.658:230.701:0,9,1,2048bps
11.5,3,172.16.3.3,250.71:229.702:0,9,1,2048bps
12,3,172.16.3.3,250.762:228.704:0,9,1,2048bps
12.5,3,172.16.3.3,250.813:227.705:0,9,1,2048bps
13,3,172.16.3.3,250.865:226.706:0,9,1,2048bps
13.5,3,172.16.3.3,250.917:225.708:0,9,1,2048bps
14,3,172.16.3.3,250.969:224.709:0,9,1,2048bps
14.5,3,172.16.3.3,251.02:223.71:0,9,1,2048bps
15,3,172.16.3.3,251.072:222.712:0,9,1,2048bps
15.5,3,172.16.3.3,251.124:221.713:0,9,1,2048bps
16,3,172.16.3.3,251.175:220.714:0,9,1,2048bps
16.5,3,172.16.3.3,251.227:219.716:0,9,1,2048bps
17,3,172.16.3.3,251.279:218.717:0,9,1,2048bps
17.5,3,172.16.3.3,251.33:217.718:0,9,1,2048bps
18,3,172.16.3.3,251.382:216.72:0,9,1,2048bps
18.5,3,172.16.3.3,251.434:215.721:0,9,1,2048bps
19,3,172.16.3.3,251.485:214.722:0,9,1,2048bps
19.5,3,172.16.3.3,251.537:213.724:0,9,1,2048bps
20,3,172.16.3.3,251.589:212.725:0,9,1,2048bps
20.5,3,172.16.3.3,251.64:211.726:0,9,1,2048bps
21,3,172.16.3.3,251.692:210.728:0,9,1,2048bps
21.5,3,172.16.3.3,251.744:209.729:0,9,1,2048bps
22,3,172.16.3.3,251.795:208.73:0,9,1,2048bps
22.5,3,172.16.3.3,251.847:207.732:0,9,1,2048bps
23,3,172.16.3.3,251.899:206.733:0,9,1,2048bps
23.5,3,172.16.3.3,251.95:205.734:0,9,1,2048bps
24,3,172.16.3.3,252.002:204.736:0,9,1,2048bps
24.5,3,172.16.3.3,252.054:203.737:0,9,1,2048bps
25,3,172.16.3.3,252.105:202.738:0,9,1,2048bps
25.5,3,172.16.3.3,252.157:201.74:0,9,1,2048bps
26,3,172.16.3.3,252.209:200.741:0,9,1,2048bps
26.5,3,172.16.3.3,252.26:199.742:0,6,1,2048bps
27,3,172.16.3.3,252.312:198.744:0,6,1,2048bps
27.5,3,172.16.3.3,252.364:197.745:0,6,1,2048bps
28,3,172.16.3.3,252.416:196.746:0,6,1,2048bps
28.5,3,172.16.3.3,252.467:195.748:0,6,1,2048bps
29,3,172.16.3.3,252.519:194.749:0,6,1,2048bps
29.5,3,172.16.3.3,252.571:193.75:0,6,1,2048bps
