Simulation Time,Connect with UAV,Current ip,Current postion,Current block,Sender State,Sender Rate
0,3,172.16.3.11,244.33:252.113:0,9,1,2048bps
0.1,3,172.16.3.11,244.173:252.236:0,9,1,2048bps
0.2,3,172.16.3.11,244.015:252.359:0,9,1,2048bps
0.3,3,172.16.3.11,243.857:252.482:0,9,1,2048bps
0.4,3,172.16.3.11,243.699:252.605:0,9,1,2048bps
0.5,3,172.16.3.11,243.541:252.727:0,9,1,2048bps
0.6,3,172.16.3.11,243.384:252.85:0,9,1,2048bps
0.7,3,172.16.3.11,243.226:252.973:0,9,1,2048bps
0.8,3,172.16.3.11,243.068:253.096:0,9,1,2048bps
0.9,3,172.16.3.11,242.91:253.219:0,9,1,2048bps
1,3,172.16.3.11,242.753:253.342:0,9,1,2048bps
1.1,3,172.16.3.11,242.595:253.465:0,9,1,2048bps
1.2,3,172.16.3.11,242.437:253.588:0,9,1,2048bps
