Waf: Entering directory `/home/naibaoofficial/projects/bake/source/ns-3.29/build'
[2710/2769] Compiling scratch/scenario/nodehelper.cc
[2736/2769] Linking build/scratch/scenario/scenario
Waf: Leaving directory `/home/naibaoofficial/projects/bake/source/ns-3.29/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (19.233s)
Start!
Setting Route Protocol: AODV for adhoc
Setting UAVs Topo for AP & Adhoc
18.9902 7 received one packet from 172.16.1.10
20.092 8 received one packet from 172.16.1.11
20.1045 8 received one packet from 172.16.1.11
20.1093 8 received one packet from 172.16.1.11
20.1181 8 received one packet from 172.16.1.11
20.1332 8 received one packet from 172.16.1.11
20.1754 8 received one packet from 172.16.1.11
20.1886 8 received one packet from 172.16.1.11
20.1932 8 received one packet from 172.16.1.11
20.2106 8 received one packet from 172.16.1.11
20.2225 8 received one packet from 172.16.1.11
20.2438 8 received one packet from 172.16.1.11
20.2625 8 received one packet from 172.16.1.11
20.2774 8 received one packet from 172.16.1.11
20.2887 8 received one packet from 172.16.1.11
20.2929 8 received one packet from 172.16.1.11
20.3034 8 received one packet from 172.16.1.11
20.3144 8 received one packet from 172.16.1.11
20.3253 8 received one packet from 172.16.1.11
20.3321 8 received one packet from 172.16.1.11
20.3363 8 received one packet from 172.16.1.11
20.3428 8 received one packet from 172.16.1.11
20.3642 8 received one packet from 172.16.1.11
20.3734 8 received one packet from 172.16.1.11
20.388 8 received one packet from 172.16.1.11
20.4018 8 received one packet from 172.16.1.11
20.4816 8 received one packet from 172.16.1.11
20.5324 8 received one packet from 172.16.1.11
20.5407 8 received one packet from 172.16.1.11
20.5491 8 received one packet from 172.16.1.11
20.5556 8 received one packet from 172.16.1.11
20.5604 8 received one packet from 172.16.1.11
20.5953 8 received one packet from 172.16.1.11
20.6019 8 received one packet from 172.16.1.11
20.6287 8 received one packet from 172.16.1.11
20.6568 8 received one packet from 172.16.1.11
20.6709 8 received one packet from 172.16.1.11
20.6799 8 received one packet from 172.16.1.11
20.6896 8 received one packet from 172.16.1.11
20.7023 8 received one packet from 172.16.1.11
20.7104 8 received one packet from 172.16.1.11
20.7234 8 received one packet from 172.16.1.11
20.7323 8 received one packet from 172.16.1.11
20.7492 8 received one packet from 172.16.1.11
20.7584 8 received one packet from 172.16.1.11
20.782 8 received one packet from 172.16.1.11
20.7946 8 received one packet from 172.16.1.11
20.808 8 received one packet from 172.16.1.11
20.8221 8 received one packet from 172.16.1.11
20.8277 8 received one packet from 172.16.1.11
20.837 8 received one packet from 172.16.1.11
20.8509 8 received one packet from 172.16.1.11
20.864 8 received one packet from 172.16.1.11
20.884 8 received one packet from 172.16.1.11
20.8899 8 received one packet from 172.16.1.11
20.9159 8 received one packet from 172.16.1.11
20.9402 8 received one packet from 172.16.1.11
