UE_id ,UE_ip_current ,Recv time[s] ,Sequence num,Parket size[byte],Sent time[s],Delay[ms]
17,172.16.3.7,15.5061,0,1024,14.2474,1259
17,172.16.3.7,18.2603,1,1024,18.2474,13
17,172.16.3.7,22.8903,2,1024,22.2474,643
17,172.16.3.7,26.2609,3,1024,26.2474,13
17,172.16.3.7,30.8926,4,1024,30.2474,645
17,172.16.3.7,30.8945,5,1024,30.3274,567
17,172.16.3.7,30.8966,6,1024,30.4074,489
17,172.16.3.7,30.8978,7,1024,30.4874,410
17,172.16.3.7,30.9133,9,1024,30.6474,266
17,172.16.3.7,30.9151,10,1024,30.7274,188
17,172.16.3.7,30.9163,11,1024,30.8074,109
17,172.16.3.7,30.9175,12,1024,30.8874,30
17,172.16.3.7,30.969,13,1024,30.9674,2
17,172.16.3.7,31.049,14,1024,31.0474,1
17,172.16.3.7,31.129,15,1024,31.1274,1
17,172.16.3.7,31.2091,16,1024,31.2074,2
17,172.16.3.7,31.289,17,1024,31.2874,1
17,172.16.3.7,31.369,18,1024,31.3674,1
17,172.16.3.7,31.449,19,1024,31.4474,1
17,172.16.3.7,31.529,20,1024,31.5274,2
17,172.16.3.7,31.609,21,1024,31.6074,1
17,172.16.3.7,31.689,22,1024,31.6874,1
17,172.16.3.7,31.769,23,1024,31.7674,2
17,172.16.3.7,31.8491,24,1024,31.8474,2
17,172.16.3.7,31.9291,25,1024,31.9274,2
17,172.16.3.7,32.0091,26,1024,32.0074,2
17,172.16.3.7,32.089,27,1024,32.0874,1
17,172.16.3.7,32.169,28,1024,32.1674,1
17,172.16.3.7,32.249,29,1024,32.2474,2
17,172.16.3.7,32.329,30,1024,32.3274,2
17,172.16.3.7,32.409,31,1024,32.4074,1
17,172.16.3.7,32.489,32,1024,32.4874,2
17,172.16.3.7,32.5691,33,1024,32.5674,2
17,172.16.3.7,32.649,34,1024,32.6474,1
17,172.16.3.7,32.7291,35,1024,32.7274,2
17,172.16.3.7,32.809,36,1024,32.8074,2
17,172.16.3.7,32.8891,37,1024,32.8874,2
17,172.16.3.7,32.969,38,1024,32.9674,1
17,172.16.3.7,33.049,39,1024,33.0474,2
17,172.16.3.7,33.129,40,1024,33.1274,1
17,172.16.3.7,33.209,41,1024,33.2074,2
17,172.16.3.7,33.289,42,1024,33.2874,1
17,172.16.3.7,33.369,43,1024,33.3674,2
17,172.16.3.7,33.4491,44,1024,33.4474,2
17,172.16.3.7,33.529,45,1024,33.5274,2
