UE_id ,UE_ip_current ,Recv time[s] ,Sequence num,Parket size[byte],Sent time[s],Delay[ms]
2,172.16.1.4,89.2835,284,1024,89.274,10
2,172.16.1.4,89.315,285,1024,89.314,2
2,172.16.1.4,89.355,286,1024,89.354,2
2,172.16.1.4,89.395,287,1024,89.394,1
2,172.16.1.4,89.435,288,1024,89.434,2
2,172.16.1.4,89.475,289,1024,89.474,2
2,172.16.1.4,89.5151,290,1024,89.514,2
2,172.16.1.4,89.5551,291,1024,89.554,2
2,172.16.1.4,89.595,292,1024,89.594,2
2,172.16.1.4,89.635,293,1024,89.634,1
2,172.16.1.4,89.675,294,1024,89.674,1
2,172.16.1.4,89.7151,295,1024,89.714,2
2,172.16.1.4,89.755,296,1024,89.754,2
2,172.16.1.4,89.795,297,1024,89.794,2
2,172.16.1.4,89.835,298,1024,89.834,2
2,172.16.1.4,89.875,299,1024,89.874,2
2,172.16.1.4,89.915,300,1024,89.914,1
2,172.16.1.4,89.9551,301,1024,89.954,2
2,172.16.1.4,89.995,302,1024,89.994,1
2,172.16.1.4,90.035,303,1024,90.034,1
2,172.16.1.4,90.0751,304,1024,90.074,2
2,172.16.1.4,90.1151,305,1024,90.114,2
2,172.16.1.4,90.155,306,1024,90.154,2
2,172.16.1.4,90.195,307,1024,90.194,2
2,172.16.1.4,90.235,308,1024,90.234,2
2,172.16.1.4,90.2755,309,1024,90.274,2
2,172.16.1.4,90.3151,310,1024,90.314,2
2,172.16.1.4,90.3551,311,1024,90.354,2
2,172.16.1.4,90.3951,312,1024,90.394,2
2,172.16.1.4,90.4351,313,1024,90.434,2
2,172.16.1.4,90.4751,314,1024,90.474,2
2,172.16.1.4,90.5151,315,1024,90.514,2
2,172.16.1.4,90.555,316,1024,90.554,1
2,172.16.1.4,90.5951,317,1024,90.594,2
2,172.16.1.4,90.6351,318,1024,90.634,2
2,172.16.1.4,90.675,319,1024,90.674,2
2,172.16.1.4,90.7151,320,1024,90.714,2
2,172.16.1.4,90.755,321,1024,90.754,2
2,172.16.1.4,90.795,322,1024,90.794,2
2,172.16.1.4,90.8351,323,1024,90.834,2
2,172.16.1.4,90.875,324,1024,90.874,1
2,172.16.1.4,90.9151,325,1024,90.914,2
2,172.16.1.4,90.9551,326,1024,90.954,2
2,172.16.1.4,90.9951,327,1024,90.994,2
2,172.16.1.4,91.035,328,1024,91.034,1
2,172.16.1.4,91.0751,329,1024,91.074,2
2,172.16.1.4,91.1151,330,1024,91.114,2
2,172.16.1.4,91.1551,331,1024,91.154,2
2,172.16.1.4,91.1951,332,1024,91.194,2
2,172.16.1.4,91.2351,333,1024,91.234,2
2,172.16.1.4,91.275,334,1024,91.274,1
2,172.16.1.4,91.3151,335,1024,91.314,2
2,172.16.1.4,91.3551,336,1024,91.354,2
2,172.16.1.4,91.395,337,1024,91.394,1
2,172.16.1.4,91.4351,338,1024,91.434,2
2,172.16.1.4,91.4751,339,1024,91.474,2
2,172.16.1.4,91.515,340,1024,91.514,2
2,172.16.1.4,91.555,341,1024,91.554,2
2,172.16.1.4,91.595,342,1024,91.594,1
2,172.16.1.4,91.6351,343,1024,91.634,2
2,172.16.1.4,91.6751,344,1024,91.674,2
2,172.16.1.4,91.7151,345,1024,91.714,2
2,172.16.1.4,91.7551,346,1024,91.754,2
2,172.16.1.4,91.795,347,1024,91.794,1
2,172.16.1.4,91.835,348,1024,91.834,1
2,172.16.1.4,91.8751,349,1024,91.874,2
2,172.16.1.4,91.915,350,1024,91.914,1
2,172.16.1.4,91.955,351,1024,91.954,2
2,172.16.1.4,91.995,352,1024,91.994,1
2,172.16.1.4,92.035,353,1024,92.034,2
2,172.16.1.4,92.075,354,1024,92.074,2
2,172.16.1.4,92.115,355,1024,92.114,1
2,172.16.1.4,92.155,356,1024,92.154,2
2,172.16.1.4,92.195,357,1024,92.194,2
2,172.16.1.4,92.235,358,1024,92.234,1
2,172.16.1.4,92.2751,359,1024,92.274,2
2,172.16.1.4,92.315,360,1024,92.314,1
