UE_id ,UE_ip_current ,Recv time[s] ,Sequence num,Parket size[byte],Sent time[s],Delay[ms]
18,172.16.3.8,78.8669,15,1024,74.1399,4727
18,172.16.3.8,78.8687,16,1024,78.1399,729
18,172.16.3.8,80.171,17,1024,80.1699,1
18,172.16.3.8,80.2109,18,1024,80.2099,1
18,172.16.3.8,80.251,19,1024,80.2499,1
18,172.16.3.8,80.2909,20,1024,80.2899,1
18,172.16.3.8,80.3309,21,1024,80.3299,1
18,172.16.3.8,80.371,22,1024,80.3699,1
18,172.16.3.8,80.4109,23,1024,80.4099,1
18,172.16.3.8,80.451,24,1024,80.4499,1
18,172.16.3.8,80.491,25,1024,80.4899,1
18,172.16.3.8,80.5309,26,1024,80.5299,1
18,172.16.3.8,80.571,27,1024,80.5699,1
18,172.16.3.8,80.6109,28,1024,80.6099,1
18,172.16.3.8,80.6509,29,1024,80.6499,1
18,172.16.3.8,80.6909,30,1024,80.6899,1
18,172.16.3.8,80.731,31,1024,80.7299,1
18,172.16.3.8,80.7709,32,1024,80.7699,1
18,172.16.3.8,80.811,33,1024,80.8099,1
18,172.16.3.8,80.851,34,1024,80.8499,1
18,172.16.3.8,80.8909,35,1024,80.8899,1
18,172.16.3.8,80.931,36,1024,80.9299,1
18,172.16.3.8,80.9709,37,1024,80.9699,1
18,172.16.3.8,81.011,38,1024,81.0099,1
18,172.16.3.8,81.0509,39,1024,81.0499,1
18,172.16.3.8,81.0909,40,1024,81.0899,1
18,172.16.3.8,81.1309,41,1024,81.1299,1
18,172.16.3.8,81.1709,42,1024,81.1699,1
18,172.16.3.8,81.211,43,1024,81.2099,2
18,172.16.3.8,81.2509,44,1024,81.2499,1
18,172.16.3.8,81.2909,45,1024,81.2899,1
18,172.16.3.8,81.3309,46,1024,81.3299,1
18,172.16.3.8,81.3709,47,1024,81.3699,1
18,172.16.3.8,81.4109,48,1024,81.4099,1
18,172.16.3.8,81.4509,49,1024,81.4499,1
18,172.16.3.8,81.491,50,1024,81.4899,1
18,172.16.3.8,81.531,51,1024,81.5299,2
18,172.16.3.8,81.5709,52,1024,81.5699,1
18,172.16.3.8,81.6109,53,1024,81.6099,1
18,172.16.3.8,81.6509,54,1024,81.6499,1
18,172.16.3.8,81.691,55,1024,81.6899,1
18,172.16.3.8,81.731,56,1024,81.7299,2
18,172.16.3.8,81.7709,57,1024,81.7699,1
18,172.16.3.8,81.811,58,1024,81.8099,1
18,172.16.3.8,81.851,59,1024,81.8499,1
18,172.16.3.8,81.891,60,1024,81.8899,2
18,172.16.3.8,81.931,61,1024,81.9299,1
18,172.16.3.8,81.971,62,1024,81.9699,1
18,172.16.3.8,82.0113,63,1024,82.0099,2
18,172.16.3.8,82.0509,64,1024,82.0499,1
18,172.16.3.8,82.091,65,1024,82.0899,1
18,172.16.3.8,82.131,66,1024,82.1299,1
18,172.16.3.8,82.171,67,1024,82.1699,2
18,172.16.3.8,82.2109,68,1024,82.2099,1
18,172.16.3.8,82.2509,69,1024,82.2499,1
18,172.16.3.8,82.291,70,1024,82.2899,1
18,172.16.3.8,82.331,71,1024,82.3299,1
18,172.16.3.8,82.371,72,1024,82.3699,1
18,172.16.3.8,82.411,73,1024,82.4099,1
18,172.16.3.8,82.451,74,1024,82.4499,1
18,172.16.3.8,82.491,75,1024,82.4899,2
18,172.16.3.8,82.5309,76,1024,82.5299,1
18,172.16.3.8,82.571,77,1024,82.5699,1
18,172.16.3.8,82.6109,78,1024,82.6099,1
18,172.16.3.8,82.6509,79,1024,82.6499,1
18,172.16.3.8,82.6909,80,1024,82.6899,1
18,172.16.3.8,82.7309,81,1024,82.7299,1
18,172.16.3.8,82.7709,82,1024,82.7699,1
18,172.16.3.8,82.8109,83,1024,82.8099,1
18,172.16.3.8,82.851,84,1024,82.8499,2
18,172.16.3.8,82.8909,85,1024,82.8899,1
18,172.16.3.8,82.931,86,1024,82.9299,2
18,172.16.3.8,82.9709,87,1024,82.9699,1
18,172.16.3.8,83.0113,88,1024,83.0099,2
18,172.16.3.8,83.051,89,1024,83.0499,2
18,172.16.3.8,83.0909,90,1024,83.0899,1
18,172.16.3.8,83.1309,91,1024,83.1299,1
18,172.16.3.8,83.171,92,1024,83.1699,2
18,172.16.3.8,83.2109,93,1024,83.2099,1
18,172.16.3.8,83.251,94,1024,83.2499,1
18,172.16.3.8,83.2909,95,1024,83.2899,1
18,172.16.3.8,83.3309,96,1024,83.3299,1
18,172.16.3.8,83.3709,97,1024,83.3699,1
18,172.16.3.8,83.411,98,1024,83.4099,1
18,172.16.3.8,83.451,99,1024,83.4499,1
18,172.16.3.8,83.491,100,1024,83.4899,1
18,172.16.3.8,83.531,101,1024,83.5299,1
18,172.16.3.8,83.571,102,1024,83.5699,1
18,172.16.3.8,83.6109,103,1024,83.6099,1
18,172.16.3.8,83.6509,104,1024,83.6499,1
18,172.16.3.8,83.691,105,1024,83.6899,1
18,172.16.3.8,83.731,106,1024,83.7299,1
18,172.16.3.8,83.7709,107,1024,83.7699,1
18,172.16.3.8,83.8109,108,1024,83.8099,1
18,172.16.3.8,83.851,109,1024,83.8499,1
18,172.16.3.8,83.891,110,1024,83.8899,2
18,172.16.3.8,83.9309,111,1024,83.9299,1
18,172.16.3.8,83.9709,112,1024,83.9699,1
18,172.16.3.8,84.011,113,1024,84.0099,1
18,172.16.3.8,84.051,114,1024,84.0499,1
18,172.16.3.8,84.0911,115,1024,84.0899,2
18,172.16.3.8,84.131,116,1024,84.1299,1
18,172.16.3.8,84.171,117,1024,84.1699,1
18,172.16.3.8,84.2109,118,1024,84.2099,1
18,172.16.3.8,84.251,119,1024,84.2499,1
18,172.16.3.8,84.2909,120,1024,84.2899,1
18,172.16.3.8,84.331,121,1024,84.3299,1
18,172.16.3.8,84.3709,122,1024,84.3699,1
