UE_id ,UE_ip_current ,Recv time[s] ,Sequence num,Parket size[byte],Sent time[s],Delay[ms]
4,172.16.1.6,14.4735,0,1024,14.1823,291
4,172.16.1.6,18.1883,1,1024,18.1823,6
4,172.16.1.6,22.8367,2,1024,22.1823,654
4,172.16.1.6,26.1974,3,1024,26.1823,15
4,172.16.1.6,30.2006,4,1024,30.1823,18
4,172.16.1.6,30.9834,5,1024,30.9823,1
4,172.16.1.6,31.7835,6,1024,31.7824,1
4,172.16.1.6,32.5834,7,1024,32.5824,1
4,172.16.1.6,33.3835,8,1024,33.3824,1
4,172.16.1.6,34.1834,9,1024,34.1824,1
4,172.16.1.6,34.9834,10,1024,34.9824,1
4,172.16.1.6,35.7835,11,1024,35.7824,1
4,172.16.1.6,36.5834,12,1024,36.5824,1
4,172.16.1.6,37.3835,13,1024,37.3824,1
4,172.16.1.6,38.1834,14,1024,38.1824,1
4,172.16.1.6,38.9834,15,1024,38.9824,1
4,172.16.1.6,39.7834,16,1024,39.7824,1
4,172.16.1.6,40.5835,17,1024,40.5824,1
4,172.16.1.6,62.1968,44,1024,62.1824,14
4,172.16.1.6,62.9835,45,1024,62.9824,1
4,172.16.1.6,63.7835,46,1024,63.7824,1
4,172.16.1.6,64.5835,47,1024,64.5824,1
4,172.16.1.6,65.3835,48,1024,65.3824,1
4,172.16.1.6,66.1835,49,1024,66.1824,1
4,172.16.1.6,66.9835,50,1024,66.9824,1
4,172.16.1.6,67.7835,51,1024,67.7824,1
4,172.16.1.6,68.5835,52,1024,68.5824,1
4,172.16.1.6,69.3834,53,1024,69.3824,1
4,172.16.1.6,70.1835,54,1024,70.1824,1
4,172.16.1.6,70.9835,55,1024,70.9824,1
4,172.16.1.6,71.7835,56,1024,71.7824,1
4,172.16.1.6,72.5834,57,1024,72.5824,1
4,172.16.1.6,73.3835,58,1024,73.3824,1
4,172.16.1.6,74.184,59,1024,74.1824,2
4,172.16.1.6,74.9834,60,1024,74.9824,1
4,172.16.1.6,75.7835,61,1024,75.7824,1
4,172.16.1.6,76.5834,62,1024,76.5824,1
4,172.16.1.6,77.3835,63,1024,77.3824,1
4,172.16.1.6,78.1835,64,1024,78.1824,1
4,172.16.1.6,78.9835,65,1024,78.9824,1
4,172.16.1.6,79.7835,66,1024,79.7824,1
4,172.16.1.6,80.2233,67,1024,80.2223,1
4,172.16.1.6,80.2633,68,1024,80.2623,1
4,172.16.1.6,80.3033,69,1024,80.3023,1
4,172.16.1.6,80.3434,70,1024,80.3423,1
4,172.16.1.6,80.3833,71,1024,80.3823,1
4,172.16.1.6,80.4234,72,1024,80.4223,1
4,172.16.1.6,80.4633,73,1024,80.4623,1
4,172.16.1.6,80.5034,74,1024,80.5023,1
4,172.16.1.6,80.5434,75,1024,80.5423,1
4,172.16.1.6,80.5833,76,1024,80.5823,1
4,172.16.1.6,80.6234,77,1024,80.6223,1
4,172.16.1.6,80.6633,78,1024,80.6623,1
4,172.16.1.6,80.7033,79,1024,80.7023,1
4,172.16.1.6,80.7434,80,1024,80.7423,1
4,172.16.1.6,80.7834,81,1024,80.7823,1
4,172.16.1.6,80.8233,82,1024,80.8223,1
4,172.16.1.6,80.8633,83,1024,80.8623,1
4,172.16.1.6,80.9033,84,1024,80.9023,1
4,172.16.1.6,80.9433,85,1024,80.9423,1
4,172.16.1.6,80.9842,86,1024,80.9823,2
4,172.16.1.6,81.0233,87,1024,81.0223,1
4,172.16.1.6,81.0635,88,1024,81.0623,1
4,172.16.1.6,81.1043,89,1024,81.1023,2
4,172.16.1.6,81.1433,90,1024,81.1423,1
4,172.16.1.6,81.1835,91,1024,81.1823,1
4,172.16.1.6,81.225,92,1024,81.2223,2
4,172.16.1.6,81.2655,93,1024,81.2623,3
4,172.16.1.6,81.3033,94,1024,81.3023,1
4,172.16.1.6,81.3443,95,1024,81.3423,2
4,172.16.1.6,81.384,96,1024,81.3823,2
4,172.16.1.6,81.4233,97,1024,81.4223,1
4,172.16.1.6,81.4693,98,1024,81.4623,7
4,172.16.1.6,81.5048,99,1024,81.5023,2
4,172.16.1.6,81.5433,100,1024,81.5423,1
4,172.16.1.6,81.5835,101,1024,81.5823,1
4,172.16.1.6,81.6233,102,1024,81.6223,1
4,172.16.1.6,81.6635,103,1024,81.6623,1
4,172.16.1.6,81.7033,104,1024,81.7023,1
4,172.16.1.6,81.7435,105,1024,81.7423,1
4,172.16.1.6,81.7853,106,1024,81.7823,3
4,172.16.1.6,81.8243,107,1024,81.8223,2
4,172.16.1.6,81.8633,108,1024,81.8623,1
4,172.16.1.6,81.9043,109,1024,81.9023,2
4,172.16.1.6,81.9433,110,1024,81.9423,1
4,172.16.1.6,81.9833,111,1024,81.9823,1
4,172.16.1.6,82.0233,112,1024,82.0223,1
4,172.16.1.6,82.0649,113,1024,82.0623,2
4,172.16.1.6,82.104,114,1024,82.1023,1
4,172.16.1.6,82.1439,115,1024,82.1423,1
4,172.16.1.6,82.1833,116,1024,82.1823,1
4,172.16.1.6,82.2238,117,1024,82.2223,1
4,172.16.1.6,82.2633,118,1024,82.2623,1
4,172.16.1.6,82.3035,119,1024,82.3023,1
4,172.16.1.6,82.3449,120,1024,82.3423,2
4,172.16.1.6,82.3833,121,1024,82.3823,1
4,172.16.1.6,82.4233,122,1024,82.4223,1
4,172.16.1.6,82.4635,123,1024,82.4623,1
4,172.16.1.6,82.5055,124,1024,82.5023,3
4,172.16.1.6,82.5445,125,1024,82.5423,2
4,172.16.1.6,82.5833,126,1024,82.5823,1
4,172.16.1.6,82.6239,127,1024,82.6223,1
4,172.16.1.6,82.6647,128,1024,82.6623,2
4,172.16.1.6,82.7038,129,1024,82.7023,1
4,172.16.1.6,82.7461,130,1024,82.7423,4
4,172.16.1.6,82.7862,131,1024,82.7823,4
4,172.16.1.6,82.8252,132,1024,82.8223,3
4,172.16.1.6,82.8653,133,1024,82.8623,3
4,172.16.1.6,82.9033,134,1024,82.9023,1
4,172.16.1.6,82.9444,135,1024,82.9423,2
4,172.16.1.6,82.9833,136,1024,82.9823,1
4,172.16.1.6,83.0233,137,1024,83.0223,1
4,172.16.1.6,83.0642,138,1024,83.0623,2
4,172.16.1.6,83.1033,139,1024,83.1023,1
4,172.16.1.6,83.1433,140,1024,83.1423,1
4,172.16.1.6,83.1835,141,1024,83.1823,1
4,172.16.1.6,83.2252,142,1024,83.2223,3
4,172.16.1.6,83.2633,143,1024,83.2623,1
4,172.16.1.6,83.3062,144,1024,83.3023,4
4,172.16.1.6,83.3448,145,1024,83.3423,2
4,172.16.1.6,83.3833,146,1024,83.3823,1
4,172.16.1.6,83.4235,147,1024,83.4223,1
4,172.16.1.6,83.4633,148,1024,83.4623,1
4,172.16.1.6,83.506,149,1024,83.5023,4
4,172.16.1.6,83.5434,150,1024,83.5423,1
4,172.16.1.6,83.5838,151,1024,83.5823,1
4,172.16.1.6,83.6233,152,1024,83.6223,1
4,172.16.1.6,83.6649,153,1024,83.6623,2
4,172.16.1.6,83.7033,154,1024,83.7023,1
4,172.16.1.6,83.7443,155,1024,83.7423,2
4,172.16.1.6,83.7848,156,1024,83.7823,2
4,172.16.1.6,83.8233,157,1024,83.8223,1
4,172.16.1.6,83.8645,158,1024,83.8623,2
4,172.16.1.6,83.9056,159,1024,83.9023,3
4,172.16.1.6,83.9452,160,1024,83.9423,3
4,172.16.1.6,83.985,161,1024,83.9823,3
4,172.16.1.6,84.0238,162,1024,84.0223,1
4,172.16.1.6,84.064,163,1024,84.0623,2
4,172.16.1.6,84.1052,164,1024,84.1023,3
4,172.16.1.6,84.1433,165,1024,84.1423,1
4,172.16.1.6,84.1858,166,1024,84.1823,3
4,172.16.1.6,84.2238,167,1024,84.2223,1
4,172.16.1.6,84.2635,168,1024,84.2623,1
4,172.16.1.6,84.3033,169,1024,84.3023,1
4,172.16.1.6,84.3434,170,1024,84.3423,1
4,172.16.1.6,84.3833,171,1024,84.3823,1
4,172.16.1.6,84.4259,172,1024,84.4223,3
4,172.16.1.6,84.4652,173,1024,84.4623,3
4,172.16.1.6,84.5033,174,1024,84.5023,1
4,172.16.1.6,84.5435,175,1024,84.5423,1
4,172.16.1.6,84.5833,176,1024,84.5823,1
4,172.16.1.6,84.6245,177,1024,84.6223,2
4,172.16.1.6,84.6648,178,1024,84.6623,2
4,172.16.1.6,84.7033,179,1024,84.7023,1
4,172.16.1.6,84.7435,180,1024,84.7423,1
4,172.16.1.6,84.7845,181,1024,84.7823,2
4,172.16.1.6,84.8238,182,1024,84.8223,1
4,172.16.1.6,84.8633,183,1024,84.8623,1
4,172.16.1.6,84.9033,184,1024,84.9023,1
4,172.16.1.6,84.9442,185,1024,84.9423,2
4,172.16.1.6,84.9851,186,1024,84.9823,3
4,172.16.1.6,85.0234,187,1024,85.0223,1
4,172.16.1.6,85.0633,188,1024,85.0623,1
4,172.16.1.6,85.1033,189,1024,85.1023,1
4,172.16.1.6,85.1433,190,1024,85.1423,1
4,172.16.1.6,85.184,191,1024,85.1823,2
4,172.16.1.6,85.2282,192,1024,85.2223,6
4,172.16.1.6,85.2633,193,1024,85.2623,1
4,172.16.1.6,85.3034,194,1024,85.3023,1
4,172.16.1.6,85.3474,195,1024,85.3423,5
4,172.16.1.6,85.3833,196,1024,85.3823,1
4,172.16.1.6,85.4243,197,1024,85.4223,2
4,172.16.1.6,85.4683,198,1024,85.4623,6
4,172.16.1.6,85.5039,199,1024,85.5023,1
4,172.16.1.6,85.5454,200,1024,85.5423,3
4,172.16.1.6,85.5833,201,1024,85.5823,1
4,172.16.1.6,85.6235,202,1024,85.6223,1
4,172.16.1.6,85.6635,203,1024,85.6623,1
4,172.16.1.6,85.7084,204,1024,85.7023,6
4,172.16.1.6,85.7453,205,1024,85.7423,3
4,172.16.1.6,85.7833,206,1024,85.7823,1
4,172.16.1.6,85.8233,207,1024,85.8223,1
4,172.16.1.6,85.8695,208,1024,85.8623,7
4,172.16.1.6,85.9035,209,1024,85.9023,1
4,172.16.1.6,85.9434,210,1024,85.9423,1
4,172.16.1.6,85.9833,211,1024,85.9823,1
4,172.16.1.6,86.0234,212,1024,86.0223,1
4,172.16.1.6,86.0634,213,1024,86.0623,1
4,172.16.1.6,86.1035,214,1024,86.1023,1
4,172.16.1.6,86.1454,215,1024,86.1423,3
4,172.16.1.6,86.1876,216,1024,86.1823,5
4,172.16.1.6,86.2238,217,1024,86.2223,1
4,172.16.1.6,86.2633,218,1024,86.2623,1
4,172.16.1.6,86.3033,219,1024,86.3023,1
4,172.16.1.6,86.3449,220,1024,86.3423,2
4,172.16.1.6,86.3833,221,1024,86.3823,1
4,172.16.1.6,86.4235,222,1024,86.4223,1
4,172.16.1.6,86.4646,223,1024,86.4623,2
4,172.16.1.6,86.505,224,1024,86.5023,2
4,172.16.1.6,86.5434,225,1024,86.5423,1
4,172.16.1.6,86.5833,226,1024,86.5823,1
4,172.16.1.6,86.6233,227,1024,86.6223,1
4,172.16.1.6,86.6634,228,1024,86.6623,1
4,172.16.1.6,86.7054,229,1024,86.7023,3
4,172.16.1.6,86.7454,230,1024,86.7423,3
4,172.16.1.6,86.7833,231,1024,86.7823,1
4,172.16.1.6,86.8233,232,1024,86.8223,1
4,172.16.1.6,86.8638,233,1024,86.8623,1
4,172.16.1.6,86.9044,234,1024,86.9023,2
4,172.16.1.6,86.9435,235,1024,86.9423,1
4,172.16.1.6,86.9852,236,1024,86.9823,3
4,172.16.1.6,87.0235,237,1024,87.0223,1
4,172.16.1.6,87.0634,238,1024,87.0623,1
4,172.16.1.6,87.1035,239,1024,87.1023,1
4,172.16.1.6,87.1435,240,1024,87.1423,1
4,172.16.1.6,87.1838,241,1024,87.1823,1
4,172.16.1.6,87.2233,242,1024,87.2223,1
4,172.16.1.6,87.2639,243,1024,87.2623,1
4,172.16.1.6,87.3059,244,1024,87.3023,3
4,172.16.1.6,87.3461,245,1024,87.3423,4
4,172.16.1.6,87.3833,246,1024,87.3823,1
4,172.16.1.6,87.4247,247,1024,87.4223,2
4,172.16.1.6,87.4634,248,1024,87.4623,1
4,172.16.1.6,87.5054,249,1024,87.5023,3
4,172.16.1.6,87.5459,250,1024,87.5423,3
4,172.16.1.6,87.585,251,1024,87.5823,2
4,172.16.1.6,87.6234,252,1024,87.6223,1
4,172.16.1.6,87.6633,253,1024,87.6623,1
4,172.16.1.6,87.7038,254,1024,87.7023,1
4,172.16.1.6,87.7435,255,1024,87.7423,1
4,172.16.1.6,87.7858,256,1024,87.7823,3
4,172.16.1.6,87.8263,257,1024,87.8223,4
4,172.16.1.6,87.8639,258,1024,87.8623,1
4,172.16.1.6,87.9047,259,1024,87.9023,2
4,172.16.1.6,87.9433,260,1024,87.9423,1
4,172.16.1.6,87.9835,261,1024,87.9823,1
4,172.16.1.6,88.0233,262,1024,88.0223,1
4,172.16.1.6,88.0644,263,1024,88.0623,2
4,172.16.1.6,88.1056,264,1024,88.1023,3
4,172.16.1.6,88.1441,265,1024,88.1423,2
4,172.16.1.6,88.1856,266,1024,88.1823,3
4,172.16.1.6,88.2233,267,1024,88.2223,1
4,172.16.1.6,88.2633,268,1024,88.2623,1
4,172.16.1.6,88.3035,269,1024,88.3023,1
4,172.16.1.6,88.3479,270,1024,88.3423,5
4,172.16.1.6,88.385,271,1024,88.3823,2
4,172.16.1.6,88.4235,272,1024,88.4223,1
4,172.16.1.6,88.4633,273,1024,88.4623,1
4,172.16.1.6,88.5033,274,1024,88.5023,1
4,172.16.1.6,88.5433,275,1024,88.5423,1
4,172.16.1.6,88.5833,276,1024,88.5823,1
4,172.16.1.6,88.6235,277,1024,88.6223,1
4,172.16.1.6,88.6633,278,1024,88.6623,1
4,172.16.1.6,88.7035,279,1024,88.7023,1
4,172.16.1.6,88.7434,280,1024,88.7423,1
4,172.16.1.6,88.7849,281,1024,88.7823,2
4,172.16.1.6,88.8233,282,1024,88.8223,1
4,172.16.1.6,88.8635,283,1024,88.8623,1
4,172.16.1.6,88.9038,284,1024,88.9023,1
4,172.16.1.6,88.9439,285,1024,88.9423,1
4,172.16.1.6,88.9838,286,1024,88.9823,1
4,172.16.1.6,89.025,287,1024,89.0223,3
4,172.16.1.6,89.0654,288,1024,89.0623,3
4,172.16.1.6,89.1039,289,1024,89.1023,1
4,172.16.1.6,89.1435,290,1024,89.1423,1
4,172.16.1.6,89.1835,291,1024,89.1823,1
4,172.16.1.6,89.2242,292,1024,89.2223,2
4,172.16.1.6,89.2643,293,1024,89.2623,2
4,172.16.1.6,89.3035,294,1024,89.3023,1
4,172.16.1.6,89.346,295,1024,89.3423,4
4,172.16.1.6,89.3833,296,1024,89.3823,1
4,172.16.1.6,89.4233,297,1024,89.4223,1
4,172.16.1.6,89.4659,298,1024,89.4623,3
4,172.16.1.6,89.5035,299,1024,89.5023,1
4,172.16.1.6,89.5444,300,1024,89.5423,2
4,172.16.1.6,89.5833,301,1024,89.5823,1
4,172.16.1.6,89.6245,302,1024,89.6223,2
4,172.16.1.6,89.6635,303,1024,89.6623,1
4,172.16.1.6,89.7033,304,1024,89.7023,1
4,172.16.1.6,89.7462,305,1024,89.7423,4
4,172.16.1.6,89.7833,306,1024,89.7823,1
4,172.16.1.6,89.8233,307,1024,89.8223,1
4,172.16.1.6,89.8653,308,1024,89.8623,3
4,172.16.1.6,89.904,309,1024,89.9023,2
4,172.16.1.6,89.9434,310,1024,89.9423,1
4,172.16.1.6,89.9835,311,1024,89.9823,1
4,172.16.1.6,90.0235,312,1024,90.0223,1
4,172.16.1.6,90.0633,313,1024,90.0623,1
4,172.16.1.6,90.1043,314,1024,90.1023,2
4,172.16.1.6,90.1449,315,1024,90.1423,2
4,172.16.1.6,90.1835,316,1024,90.1823,1
4,172.16.1.6,90.226,317,1024,90.2223,3
4,172.16.1.6,90.2633,318,1024,90.2623,1
4,172.16.1.6,90.3062,319,1024,90.3023,4
4,172.16.1.6,90.3439,320,1024,90.3423,1
4,172.16.1.6,90.3835,321,1024,90.3823,1
4,172.16.1.6,90.4233,322,1024,90.4223,1
4,172.16.1.6,90.4633,323,1024,90.4623,1
4,172.16.1.6,90.5033,324,1024,90.5023,1
4,172.16.1.6,90.5433,325,1024,90.5423,1
4,172.16.1.6,90.5833,326,1024,90.5823,1
4,172.16.1.6,90.6235,327,1024,90.6223,1
4,172.16.1.6,90.6633,328,1024,90.6623,1
4,172.16.1.6,90.7063,329,1024,90.7023,4
4,172.16.1.6,90.7433,330,1024,90.7423,1
4,172.16.1.6,90.785,331,1024,90.7823,2
4,172.16.1.6,90.8233,332,1024,90.8223,1
4,172.16.1.6,90.8674,333,1024,90.8623,5
4,172.16.1.6,90.9033,334,1024,90.9023,1
4,172.16.1.6,90.9434,335,1024,90.9423,1
4,172.16.1.6,90.9839,336,1024,90.9823,1
4,172.16.1.6,91.0233,337,1024,91.0223,1
4,172.16.1.6,91.0661,338,1024,91.0623,4
4,172.16.1.6,91.1043,339,1024,91.1023,2
4,172.16.1.6,91.1435,340,1024,91.1423,1
4,172.16.1.6,91.1852,341,1024,91.1823,3
4,172.16.1.6,91.2254,342,1024,91.2223,3
4,172.16.1.6,91.2658,343,1024,91.2623,3
4,172.16.1.6,91.3034,344,1024,91.3023,1
4,172.16.1.6,91.3442,345,1024,91.3423,2
4,172.16.1.6,91.3851,346,1024,91.3823,3
4,172.16.1.6,91.4233,347,1024,91.4223,1
4,172.16.1.6,91.4676,348,1024,91.4623,5
4,172.16.1.6,91.5033,349,1024,91.5023,1
4,172.16.1.6,91.5457,350,1024,91.5423,3
4,172.16.1.6,91.5834,351,1024,91.5823,1
4,172.16.1.6,91.6238,352,1024,91.6223,1
4,172.16.1.6,91.6656,353,1024,91.6623,3
4,172.16.1.6,91.7061,354,1024,91.7023,4
4,172.16.1.6,91.7435,355,1024,91.7423,1
4,172.16.1.6,91.7833,356,1024,91.7823,1
4,172.16.1.6,91.8242,357,1024,91.8223,2
4,172.16.1.6,91.8661,358,1024,91.8623,4
4,172.16.1.6,91.904,359,1024,91.9023,2
4,172.16.1.6,91.945,360,1024,91.9423,2
4,172.16.1.6,91.9833,361,1024,91.9823,1
4,172.16.1.6,92.0238,362,1024,92.0223,1
4,172.16.1.6,92.0635,363,1024,92.0623,1
4,172.16.1.6,92.1044,364,1024,92.1023,2
4,172.16.1.6,92.1433,365,1024,92.1423,1
4,172.16.1.6,92.1833,366,1024,92.1823,1
4,172.16.1.6,92.2244,367,1024,92.2223,2
4,172.16.1.6,92.2633,368,1024,92.2623,1
4,172.16.1.6,92.3033,369,1024,92.3023,1
4,172.16.1.6,92.3518,370,1024,92.3423,9
4,172.16.1.6,92.3835,371,1024,92.3823,1
4,172.16.1.6,92.4233,372,1024,92.4223,1
4,172.16.1.6,92.4657,373,1024,92.4623,3
4,172.16.1.6,92.5034,374,1024,92.5023,1
4,172.16.1.6,92.5435,375,1024,92.5423,1
4,172.16.1.6,92.5838,376,1024,92.5823,1
4,172.16.1.6,92.6251,377,1024,92.6223,3
4,172.16.1.6,92.6633,378,1024,92.6623,1
4,172.16.1.6,92.7057,379,1024,92.7023,3
4,172.16.1.6,92.7433,380,1024,92.7423,1
4,172.16.1.6,92.7858,381,1024,92.7823,3
4,172.16.1.6,92.8233,382,1024,92.8223,1
4,172.16.1.6,92.865,383,1024,92.8623,3
4,172.16.1.6,92.905,384,1024,92.9023,3
4,172.16.1.6,92.9434,385,1024,92.9423,1
4,172.16.1.6,92.9834,386,1024,92.9823,1
4,172.16.1.6,93.0241,387,1024,93.0223,2
4,172.16.1.6,93.0635,388,1024,93.0623,1
4,172.16.1.6,93.1057,389,1024,93.1023,3
4,172.16.1.6,93.1433,390,1024,93.1423,1
4,172.16.1.6,93.1833,391,1024,93.1823,1
4,172.16.1.6,93.2233,392,1024,93.2223,1
4,172.16.1.6,93.2655,393,1024,93.2623,3
4,172.16.1.6,93.3035,394,1024,93.3023,1
4,172.16.1.6,93.3433,395,1024,93.3423,1
4,172.16.1.6,93.3835,396,1024,93.3823,1
4,172.16.1.6,93.4233,397,1024,93.4223,1
4,172.16.1.6,93.4633,398,1024,93.4623,1
4,172.16.1.6,93.5033,399,1024,93.5023,1
4,172.16.1.6,93.5435,400,1024,93.5423,1
4,172.16.1.6,93.5833,401,1024,93.5823,1
4,172.16.1.6,93.625,402,1024,93.6223,3
4,172.16.1.6,93.6633,403,1024,93.6623,1
4,172.16.1.6,93.7033,404,1024,93.7023,1
4,172.16.1.6,93.7435,405,1024,93.7423,1
4,172.16.1.6,93.7833,406,1024,93.7823,1
4,172.16.1.6,93.8233,407,1024,93.8223,1
4,172.16.1.6,93.8633,408,1024,93.8623,1
4,172.16.1.6,93.9054,409,1024,93.9023,3
4,172.16.1.6,93.9451,410,1024,93.9423,3
4,172.16.1.6,93.9875,411,1024,93.9823,5
4,172.16.1.6,94.0238,412,1024,94.0223,1
4,172.16.1.6,94.0643,413,1024,94.0623,2
4,172.16.1.6,94.1035,414,1024,94.1023,1
4,172.16.1.6,94.1433,415,1024,94.1423,1
4,172.16.1.6,94.1852,416,1024,94.1823,3
4,172.16.1.6,94.2235,417,1024,94.2223,1
4,172.16.1.6,94.2652,418,1024,94.2623,3
4,172.16.1.6,94.3033,419,1024,94.3023,1
4,172.16.1.6,94.3441,420,1024,94.3423,2
4,172.16.1.6,94.3858,421,1024,94.3823,3
4,172.16.1.6,94.4251,422,1024,94.4223,3
4,172.16.1.6,94.4657,423,1024,94.4623,3
4,172.16.1.6,94.506,424,1024,94.5023,4
4,172.16.1.6,94.5435,425,1024,94.5423,1
4,172.16.1.6,94.5833,426,1024,94.5823,1
4,172.16.1.6,94.6238,427,1024,94.6223,1
4,172.16.1.6,94.6718,428,1024,94.6623,9
4,172.16.1.6,94.7035,429,1024,94.7023,1
4,172.16.1.6,94.7433,430,1024,94.7423,1
4,172.16.1.6,94.7838,431,1024,94.7823,1
4,172.16.1.6,94.8233,432,1024,94.8223,1
4,172.16.1.6,94.8663,433,1024,94.8623,4
4,172.16.1.6,94.9033,434,1024,94.9023,1
4,172.16.1.6,94.9435,435,1024,94.9423,1
4,172.16.1.6,94.9838,436,1024,94.9823,1
4,172.16.1.6,95.0256,437,1024,95.0223,3
4,172.16.1.6,95.0638,438,1024,95.0623,1
4,172.16.1.6,95.1035,439,1024,95.1023,1
4,172.16.1.6,95.1438,440,1024,95.1423,1
4,172.16.1.6,95.1835,441,1024,95.1823,1
4,172.16.1.6,95.2251,442,1024,95.2223,3
4,172.16.1.6,95.2633,443,1024,95.2623,1
4,172.16.1.6,95.3033,444,1024,95.3023,1
4,172.16.1.6,95.3438,445,1024,95.3423,1
4,172.16.1.6,95.3835,446,1024,95.3823,1
4,172.16.1.6,95.4233,447,1024,95.4223,1
4,172.16.1.6,95.4634,448,1024,95.4623,1
4,172.16.1.6,95.5033,449,1024,95.5023,1
4,172.16.1.6,95.5433,450,1024,95.5423,1
4,172.16.1.6,95.5852,451,1024,95.5823,3
4,172.16.1.6,95.6235,452,1024,95.6223,1
4,172.16.1.6,95.665,453,1024,95.6623,2
4,172.16.1.6,95.7035,454,1024,95.7023,1
4,172.16.1.6,95.7457,455,1024,95.7423,3
4,172.16.1.6,95.7833,456,1024,95.7823,1
4,172.16.1.6,95.8234,457,1024,95.8223,1
4,172.16.1.6,95.8633,458,1024,95.8623,1
4,172.16.1.6,95.9033,459,1024,95.9023,1
4,172.16.1.6,95.9497,460,1024,95.9423,7
4,172.16.1.6,95.9838,461,1024,95.9823,1
4,172.16.1.6,96.0249,462,1024,96.0223,2
4,172.16.1.6,96.0672,463,1024,96.0623,5
4,172.16.1.6,96.1035,464,1024,96.1023,1
4,172.16.1.6,96.1435,465,1024,96.1423,1
4,172.16.1.6,96.1835,466,1024,96.1823,1
4,172.16.1.6,96.2233,467,1024,96.2223,1
4,172.16.1.6,96.2635,468,1024,96.2623,1
4,172.16.1.6,96.3033,469,1024,96.3023,1
4,172.16.1.6,96.3434,470,1024,96.3423,1
4,172.16.1.6,96.3858,471,1024,96.3823,3
4,172.16.1.6,96.4233,472,1024,96.4223,1
4,172.16.1.6,96.4657,473,1024,96.4623,3
4,172.16.1.6,96.5034,474,1024,96.5023,1
4,172.16.1.6,96.5434,475,1024,96.5423,1
4,172.16.1.6,96.584,476,1024,96.5823,2
4,172.16.1.6,96.6235,477,1024,96.6223,1
4,172.16.1.6,96.6643,478,1024,96.6623,2
4,172.16.1.6,96.7065,479,1024,96.7023,4
4,172.16.1.6,96.7442,480,1024,96.7423,2
4,172.16.1.6,96.7835,481,1024,96.7823,1
4,172.16.1.6,96.8244,482,1024,96.8223,2
4,172.16.1.6,96.8678,483,1024,96.8623,5
4,172.16.1.6,96.9033,484,1024,96.9023,1
4,172.16.1.6,96.9433,485,1024,96.9423,1
4,172.16.1.6,96.9854,486,1024,96.9823,3
4,172.16.1.6,97.0235,487,1024,97.0223,1
4,172.16.1.6,97.0642,488,1024,97.0623,2
4,172.16.1.6,97.1038,489,1024,97.1023,1
4,172.16.1.6,97.1454,490,1024,97.1423,3
4,172.16.1.6,97.1834,491,1024,97.1823,1
4,172.16.1.6,97.2235,492,1024,97.2223,1
4,172.16.1.6,97.2634,493,1024,97.2623,1
4,172.16.1.6,97.3035,494,1024,97.3023,1
4,172.16.1.6,97.3438,495,1024,97.3423,1
4,172.16.1.6,97.3833,496,1024,97.3823,1
4,172.16.1.6,97.4243,497,1024,97.4223,2
4,172.16.1.6,97.4671,498,1024,97.4623,5
4,172.16.1.6,97.5045,499,1024,97.5023,2
4,172.16.1.6,97.545,500,1024,97.5423,2
4,172.16.1.6,97.5858,501,1024,97.5823,3
4,172.16.1.6,97.6235,502,1024,97.6223,1
4,172.16.1.6,97.6646,503,1024,97.6623,2
4,172.16.1.6,97.7033,504,1024,97.7023,1
4,172.16.1.6,97.7435,505,1024,97.7423,1
4,172.16.1.6,97.7835,506,1024,97.7823,1
4,172.16.1.6,97.8278,507,1024,97.8223,5
4,172.16.1.6,97.867,508,1024,97.8623,4
4,172.16.1.6,97.9057,509,1024,97.9023,3
4,172.16.1.6,97.9435,510,1024,97.9423,1
4,172.16.1.6,97.9833,511,1024,97.9823,1
4,172.16.1.6,98.0234,512,1024,98.0223,1
4,172.16.1.6,98.0718,513,1024,98.0623,9
4,172.16.1.6,98.1035,514,1024,98.1023,1
4,172.16.1.6,98.1435,515,1024,98.1423,1
4,172.16.1.6,98.1873,516,1024,98.1823,5
4,172.16.1.6,98.2327,517,1024,98.2223,10
4,172.16.1.6,98.2634,518,1024,98.2623,1
4,172.16.1.6,98.3033,519,1024,98.3023,1
4,172.16.1.6,98.3435,520,1024,98.3423,1
4,172.16.1.6,98.386,521,1024,98.3823,4
4,172.16.1.6,98.4233,522,1024,98.4223,1
4,172.16.1.6,98.4657,523,1024,98.4623,3
4,172.16.1.6,98.5033,524,1024,98.5023,1
4,172.16.1.6,98.5446,525,1024,98.5423,2
4,172.16.1.6,98.5833,526,1024,98.5823,1
4,172.16.1.6,98.6235,527,1024,98.6223,1
4,172.16.1.6,98.6663,528,1024,98.6623,4
4,172.16.1.6,98.7055,529,1024,98.7023,3
4,172.16.1.6,98.7435,530,1024,98.7423,1
4,172.16.1.6,98.7833,531,1024,98.7823,1
