UE_id ,UE_ip_current ,Recv time[s] ,Sequence num,Parket size[byte],Sent time[s],Delay[ms]
5,172.16.1.7,14.5074,0,1024,14.2435,264
5,172.16.1.7,18.2462,1,1024,18.2435,3
5,172.16.1.7,22.2575,2,1024,22.2435,14
5,172.16.1.7,26.2484,3,1024,26.2435,5
5,172.16.1.7,30.2582,4,1024,30.2435,15
5,172.16.1.7,32.2445,5,1024,32.2435,1
5,172.16.1.7,34.2446,6,1024,34.2435,1
5,172.16.1.7,36.2446,7,1024,36.2435,1
5,172.16.1.7,38.2446,8,1024,38.2435,1
5,172.16.1.7,40.2445,9,1024,40.2435,1
5,172.16.1.7,42.2445,10,1024,42.2435,1
5,172.16.1.7,44.2445,11,1024,44.2435,1
5,172.16.1.7,46.2445,12,1024,46.2435,1
5,172.16.1.7,48.2445,13,1024,48.2435,1
5,172.16.1.7,50.2445,14,1024,50.2435,1
5,172.16.1.7,52.2447,15,1024,52.2435,1
5,172.16.1.7,54.2446,16,1024,54.2435,1
5,172.16.1.7,56.2446,17,1024,56.2435,1
5,172.16.1.7,58.2448,18,1024,58.2435,1
5,172.16.1.7,60.2445,19,1024,60.2435,1
5,172.16.1.7,62.2446,20,1024,62.2435,1
5,172.16.1.7,64.2445,21,1024,64.2435,1
5,172.16.1.7,66.2446,22,1024,66.2435,1
5,172.16.1.7,68.2445,23,1024,68.2435,1
5,172.16.1.7,70.2446,24,1024,70.2435,1
5,172.16.1.7,72.2445,25,1024,72.2435,1
