UE_id ,UE_ip_current ,Recv time[s] ,Sequence num,Parket size[byte],Sent time[s],Delay[ms]
0,172.16.1.2,14.5144,0,1024,14.4936,21
0,172.16.1.2,18.5037,1,1024,18.4936,10
0,172.16.1.2,22.5005,2,1024,22.4936,7
0,172.16.1.2,26.4968,3,1024,26.4936,3
0,172.16.1.2,30.5054,4,1024,30.4936,12
0,172.16.1.2,34.5061,5,1024,34.4936,13
0,172.16.1.2,38.5016,6,1024,38.4936,8
0,172.16.1.2,42.5057,7,1024,42.4936,12
0,172.16.1.2,46.5022,8,1024,46.4936,9
0,172.16.1.2,79.2289,15,1024,74.4936,4735
0,172.16.1.2,79.2299,16,1024,78.4936,736
0,172.16.1.2,80.5246,17,1024,80.5236,1
0,172.16.1.2,80.5647,18,1024,80.5636,1
0,172.16.1.2,80.6047,19,1024,80.6036,1
0,172.16.1.2,80.6451,20,1024,80.6436,2
0,172.16.1.2,80.6847,21,1024,80.6836,1
0,172.16.1.2,80.7247,22,1024,80.7236,1
0,172.16.1.2,80.7647,23,1024,80.7636,1
0,172.16.1.2,80.8047,24,1024,80.8036,1
0,172.16.1.2,80.8447,25,1024,80.8436,1
0,172.16.1.2,80.8847,26,1024,80.8836,1
0,172.16.1.2,80.9247,27,1024,80.9236,1
0,172.16.1.2,80.9647,28,1024,80.9636,1
0,172.16.1.2,81.0046,29,1024,81.0036,1
0,172.16.1.2,81.0446,30,1024,81.0436,1
0,172.16.1.2,81.0847,31,1024,81.0836,1
0,172.16.1.2,81.1246,32,1024,81.1236,1
0,172.16.1.2,81.1647,33,1024,81.1636,1
0,172.16.1.2,81.2047,34,1024,81.2036,1
0,172.16.1.2,81.2447,35,1024,81.2436,1
0,172.16.1.2,81.2848,36,1024,81.2836,1
0,172.16.1.2,81.3247,37,1024,81.3236,1
0,172.16.1.2,81.3646,38,1024,81.3636,1
0,172.16.1.2,81.4047,39,1024,81.4036,1
0,172.16.1.2,81.4446,40,1024,81.4436,1
0,172.16.1.2,81.4847,41,1024,81.4836,1
0,172.16.1.2,81.5246,42,1024,81.5236,1
0,172.16.1.2,81.5647,43,1024,81.5636,1
0,172.16.1.2,81.6046,44,1024,81.6036,1
0,172.16.1.2,81.6447,45,1024,81.6436,1
0,172.16.1.2,81.6847,46,1024,81.6836,1
0,172.16.1.2,81.7247,47,1024,81.7236,1
0,172.16.1.2,81.7647,48,1024,81.7636,1
0,172.16.1.2,81.8047,49,1024,81.8036,1
0,172.16.1.2,81.8447,50,1024,81.8436,1
0,172.16.1.2,81.8847,51,1024,81.8836,1
0,172.16.1.2,81.9247,52,1024,81.9236,1
0,172.16.1.2,81.9647,53,1024,81.9636,1
0,172.16.1.2,82.0047,54,1024,82.0036,1
0,172.16.1.2,82.0447,55,1024,82.0436,1
0,172.16.1.2,82.0847,56,1024,82.0836,1
0,172.16.1.2,82.1247,57,1024,82.1236,1
0,172.16.1.2,82.1646,58,1024,82.1636,1
0,172.16.1.2,82.2047,59,1024,82.2036,1
0,172.16.1.2,82.2446,60,1024,82.2436,1
0,172.16.1.2,82.2846,61,1024,82.2836,1
0,172.16.1.2,82.3247,62,1024,82.3236,1
0,172.16.1.2,82.3646,63,1024,82.3636,1
0,172.16.1.2,82.4047,64,1024,82.4036,1
0,172.16.1.2,82.4446,65,1024,82.4436,1
0,172.16.1.2,82.4847,66,1024,82.4836,1
0,172.16.1.2,82.5247,67,1024,82.5236,1
0,172.16.1.2,82.5647,68,1024,82.5636,1
0,172.16.1.2,82.6047,69,1024,82.6036,1
0,172.16.1.2,82.6446,70,1024,82.6436,1
0,172.16.1.2,82.6846,71,1024,82.6836,1
0,172.16.1.2,82.7247,72,1024,82.7236,1
0,172.16.1.2,82.7646,73,1024,82.7636,1
0,172.16.1.2,82.8047,74,1024,82.8036,1
0,172.16.1.2,82.8446,75,1024,82.8436,1
0,172.16.1.2,82.8847,76,1024,82.8836,1
