UE_id ,UE_ip_current ,Recv time[s] ,Sequence num,Parket size[byte],Sent time[s],Delay[ms]
10,172.16.2.6,14.6534,0,1024,14.0031,650
10,172.16.2.6,18.0123,1,1024,18.0031,9
10,172.16.2.6,22.5661,2,1024,22.0031,563
10,172.16.2.6,26.015,3,1024,26.0031,12
10,172.16.2.6,30.0218,4,1024,30.0031,18
10,172.16.2.6,34.0148,5,1024,34.0031,11
10,172.16.2.6,38.0058,6,1024,38.0031,2
10,172.16.2.6,42.0136,7,1024,42.0031,10
10,172.16.2.6,46.0174,8,1024,46.0031,14
10,172.16.2.6,50.0139,9,1024,50.0031,10
10,172.16.2.6,54.0111,10,1024,54.0031,8
10,172.16.2.6,58.0086,11,1024,58.0031,5
10,172.16.2.6,62.0155,12,1024,62.0031,12
10,172.16.2.6,66.013,13,1024,66.0031,9
10,172.16.2.6,70.0109,14,1024,70.0031,7
10,172.16.2.6,74.0177,15,1024,74.0031,14
10,172.16.2.6,78.0124,16,1024,78.0031,9
10,172.16.2.6,80.0339,17,1024,80.0331,0
10,172.16.2.6,80.074,18,1024,80.0731,0
10,172.16.2.6,80.114,19,1024,80.1131,0
10,172.16.2.6,80.1541,20,1024,80.1531,1
10,172.16.2.6,80.194,21,1024,80.1931,1
10,172.16.2.6,80.2339,22,1024,80.2331,0
10,172.16.2.6,80.2739,23,1024,80.2731,0
10,172.16.2.6,80.314,24,1024,80.3131,0
10,172.16.2.6,80.354,25,1024,80.3531,0
10,172.16.2.6,80.394,26,1024,80.3931,1
10,172.16.2.6,80.4339,27,1024,80.4331,0
10,172.16.2.6,80.4739,28,1024,80.4731,0
10,172.16.2.6,80.5139,29,1024,80.5131,0
10,172.16.2.6,80.554,30,1024,80.5531,0
10,172.16.2.6,80.594,31,1024,80.5931,0
10,172.16.2.6,80.6339,32,1024,80.6331,0
10,172.16.2.6,80.674,33,1024,80.6731,0
