UE_id ,UE_ip_current ,Recv time[s] ,Sequence num,Parket size[byte],Sent time[s],Delay[ms]
16,172.16.3.6,51.8027,14,1024,50.5899,1213
16,172.16.3.6,52.591,15,1024,52.5899,1
16,172.16.3.6,54.5909,16,1024,54.5899,1
16,172.16.3.6,56.5909,17,1024,56.5899,1
16,172.16.3.6,58.591,18,1024,58.5899,2
16,172.16.3.6,60.591,19,1024,60.5899,2
16,172.16.3.6,62.591,20,1024,62.5899,2
16,172.16.3.6,64.591,21,1024,64.5899,1
16,172.16.3.6,66.591,22,1024,66.5899,2
16,172.16.3.6,68.5909,23,1024,68.5899,1
16,172.16.3.6,70.5909,24,1024,70.5899,1
16,172.16.3.6,72.591,25,1024,72.5899,1
16,172.16.3.6,74.5909,26,1024,74.5899,1
16,172.16.3.6,76.591,27,1024,76.5899,2
16,172.16.3.6,78.591,28,1024,78.5899,2
16,172.16.3.6,80.5909,29,1024,80.5899,1
16,172.16.3.6,80.6309,30,1024,80.6299,1
16,172.16.3.6,80.671,31,1024,80.6699,1
16,172.16.3.6,80.7109,32,1024,80.7099,1
16,172.16.3.6,80.751,33,1024,80.7499,1
16,172.16.3.6,80.7909,34,1024,80.7899,1
16,172.16.3.6,80.831,35,1024,80.8299,1
16,172.16.3.6,80.8725,36,1024,80.8699,3
16,172.16.3.6,80.911,37,1024,80.9099,2
16,172.16.3.6,80.9509,38,1024,80.9499,1
16,172.16.3.6,80.991,39,1024,80.9899,1
16,172.16.3.6,81.031,40,1024,81.0299,1
16,172.16.3.6,81.0709,41,1024,81.0699,1
16,172.16.3.6,81.111,42,1024,81.1099,2
16,172.16.3.6,81.151,43,1024,81.1499,1
16,172.16.3.6,81.1909,44,1024,81.1899,1
16,172.16.3.6,81.231,45,1024,81.2299,1
16,172.16.3.6,81.271,46,1024,81.2699,2
16,172.16.3.6,81.3109,47,1024,81.3099,1
16,172.16.3.6,81.351,48,1024,81.3499,1
16,172.16.3.6,81.391,49,1024,81.3899,1
16,172.16.3.6,81.4309,50,1024,81.4299,1
